x1,x2,label
5.25089,1.21454,0
4.96109,2.35035,0
3.66574,2.21333,0
4.29468,1.54810,0
4.83398,1.75839,0
4.89575,1.60523,0
5.32006,2.02069,0
4.54114,1.74315,0
2.80359,1.30739,0
4.84874,1.58252,0
5.01635,1.01761,0
3.41807,1.32027,0
5.56911,1.42704,0
4.06886,1.15035,0
3.60238,0.88078,0
4.98638,2.29168,0
4.96135,1.19102,0
4.21691,3.26367,0
4.66741,1.74109,0
4.88363,1.96180,0
2.95684,1.22147,0
4.27843,2.45181,0
4.93872,1.32186,0
6.02928,1.73453,0
5.22337,1.74255,0
4.06091,2.75285,0
3.86022,2.30656,0
6.86189,2.43462,0
5.16639,2.43249,0
3.85395,1.73093,0
4.88236,3.74728,0
5.03427,1.31332,0
6.50081,2.36466,0
4.87480,1.99434,0
4.29412,2.17366,0
4.23425,0.80205,0
4.89694,1.11780,0
4.62667,3.40681,0
3.82908,1.98448,0
4.67033,2.59803,0
5.24478,4.67977,0
5.72941,1.31505,0
5.56322,3.14356,0
5.66414,1.42312,0
5.21205,3.08115,0
5.46637,1.78602,0
4.22771,1.87445,0
4.91567,0.92713,0
4.67760,1.31369,0
5.55903,2.62445,0
4.74447,3.33436,0
4.13903,1.90549,0
4.74743,4.28186,0
3.37599,1.87025,0
3.98503,2.94685,0
4.14467,0.36644,0
4.45775,2.67142,0
6.31743,2.05786,0
5.83696,2.98416,0
3.59520,1.58958,0
5.72396,2.26098,0
5.81965,0.31143,0
4.27635,1.16495,0
5.66876,2.06610,0
5.96741,1.96997,0
4.46509,2.43669,0
5.20653,1.39517,0
5.09237,1.46509,0
4.91567,3.80815,0
4.18164,1.96295,0
5.96143,2.05783,0
4.88114,0.83466,0
3.94805,1.45426,0
7.27012,1.73233,0
4.23411,2.82906,0
6.00003,-0.23442,0
4.94939,1.57635,0
5.76578,1.21494,0
5.84048,1.51544,0
4.25024,1.94416,0
4.01940,0.69721,0
3.73221,0.85457,0
4.48529,0.12186,0
6.40670,2.47303,0
4.03176,3.36306,0
7.28507,3.06680,0
6.05304,1.31308,0
4.94228,1.49793,0
4.83387,3.61065,0
6.01630,1.18731,0
3.58200,1.78867,0
5.95412,2.06626,0
4.72519,2.42569,0
5.54552,2.64373,0
3.78084,1.02169,0
3.96037,2.78236,0
3.91327,0.94061,0
6.20193,0.62871,0
4.92207,1.16553,0
4.96704,1.85783,0
4.77383,3.35422,0
5.32443,1.13941,0
4.28536,1.18286,0
3.94183,-0.79304,0
4.15186,2.52776,0
5.17287,1.99650,0
4.29367,1.51667,0
4.32095,1.74073,0
5.27126,0.41484,0
1.97625,3.10033,0
4.53212,2.02191,0
4.62438,3.08978,0
6.05077,2.53282,0
3.63544,1.99161,0
4.08727,1.43525,0
4.29658,2.78349,0
5.65946,0.76618,0
5.65120,4.09962,0
3.12524,0.72780,0
5.92158,1.86016,0
5.22494,1.72691,0
5.59338,0.62334,0
4.63077,1.28006,0
5.85414,0.70626,0
3.85146,3.37232,0
4.51085,3.04111,0
5.20401,1.29813,0
2.90343,0.65567,0
3.46147,2.10002,0
6.32594,-1.11428,0
3.96971,2.35927,0
4.63009,0.80983,0
5.40238,1.66944,0
5.20729,1.40695,0
5.87914,2.57020,0
3.68831,1.88412,0
5.94975,2.80496,0
3.07657,1.62409,0
4.56833,1.59826,0
5.80192,2.27634,0
4.53411,1.98245,0
6.20273,-0.10924,0
5.96763,2.67888,0
5.79543,0.85526,0
4.01690,1.31566,0
5.27814,1.73020,0
3.60730,1.72335,0
6.83052,1.83593,0
4.82798,3.63864,0
4.97353,0.77270,0
4.14301,1.70375,0
4.14180,1.00977,0
5.17709,-0.21144,0
6.43054,-0.83821,0
4.36039,0.95051,0
4.86394,2.58469,0
4.54379,3.37001,0
4.61133,2.67857,0
3.81189,1.68605,0
6.22032,0.03617,0
3.26102,1.11045,0
5.21104,-1.14127,0
7.21115,2.78598,0
5.66619,2.58891,0
4.80345,3.12210,0
3.86974,0.95590,0
6.37441,0.94111,0
5.70407,1.16397,0
4.40240,3.50411,0
5.81001,0.17780,0
5.54517,2.92753,0
5.86549,1.21714,0
4.27800,2.32625,0
4.76923,-0.06399,0
3.13859,2.14446,0
3.59936,2.77192,0
7.16634,3.46823,0
4.42704,2.25872,0
3.96207,2.45788,0
4.90915,0.72643,0
5.42898,0.20930,0
5.69374,2.19990,0
5.34063,0.90285,0
3.40761,2.76095,0
5.57857,1.71610,0
4.64035,3.24816,0
3.37999,2.81221,0
4.99517,0.79894,0
5.20575,2.96539,0
6.23809,3.44932,0
4.98436,3.26107,0
2.52159,1.42067,0
4.44254,1.85758,0
4.16696,1.12905,0
4.62044,2.03412,0
6.75750,2.98233,0
5.03832,3.22711,0
5.86829,1.30529,0
4.51219,0.90899,0
5.47981,1.48416,0
6.28666,1.41423,0
5.46651,2.22532,0
4.98126,0.48753,0
5.59853,-0.18180,0
5.31986,0.96704,0
5.65932,1.48905,0
4.83553,2.42421,0
5.39134,2.71134,0
5.14129,2.84381,0
4.54778,1.37822,0
5.75888,0.99628,0
5.87712,0.99724,0
4.47496,2.36077,0
3.69312,0.18345,0
4.79762,1.86234,0
5.35480,1.13995,0
5.34201,0.61622,0
